Time,DesX,DesY,DesZ,DesVX,DesVY,DesVZ,PosX,PosY,PosZ,VelX,VelY,VelZ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.166666666666666609e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.300274884259259184e-05,0.000000000000000000e+00,0.000000000000000000e+00,6.236979166666666713e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.124095624758873480e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.170500578703702874e-02
8.333333333333333218e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.193865740740740485e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.244791666666666789e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.122377543174959413e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.123395801393890669e-02
1.250000000000000069e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.166992187500000223e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.863281250000000180e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.119930197259784849e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.873630196418960780e-02
1.666666666666666644e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.071759259259259192e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.479166666666666671e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.116832213386086958e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.435161296874877312e-02
2.083333333333333218e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.232602719907407126e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.092447916666666782e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.113156786713839080e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.821024013394952734e-02
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.648437500000000876e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.703125000000000860e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.108972040510855656e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.004339088716033057e-01
2.916666666666666713e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.318178530092592683e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.311197916666666130e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.104341361978949942e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.111362847657372810e-01
3.333333333333333287e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.240740740740739667e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.916666666666667102e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.099323716096943654e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.204235011681500100e-01
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.041503906250000003e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.519531249999999611e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.093973938897825626e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.283946527788318581e-01
4.166666666666666435e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.283998842592592440e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.119791666666666435e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.088343011508772357e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.351422573372796088e-01
4.583333333333333010e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.551450376157407097e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.717447916666666186e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.082478316199322332e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.407526874268017480e-01
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.843750000000000337e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.312500000000000944e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.076423875604489711e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.453065742759833412e-01
