Time,DesX,DesY,DesZ,DesVX,DesVY,DesVZ,PosX,PosY,PosZ,VelX,VelY,VelZ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.166666666666666609e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.014011901101948179e-08,0.000000000000000000e+00,0.000000000000000000e+00,6.483318187572337883e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.124022934348056640e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.344957564664197983e-02
8.333333333333333218e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.188660421489197939e-07,0.000000000000000000e+00,0.000000000000000000e+00,2.582510489004629208e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.122068969707070568e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.689515138366592145e-02
1.250000000000000069e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.418575286865234780e-06,0.000000000000000000e+00,0.000000000000000000e+00,5.786361694335938853e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.119138280346818198e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.033654464605629264e-02
1.666666666666666644e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.714940200617283140e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.024377893518518649e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.115231048138597969e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.377357299728558693e-02
2.083333333333333218e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.112693621788495855e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.593872352882667615e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.110347462549640535e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.172060541349780050e-01
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.916687011718750191e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.285522460937500309e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.104487720637283704e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.406338058965643234e-01
2.916666666666666713e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.034040827810029022e-05,0.000000000000000000e+00,0.000000000000000000e+00,3.097737912778501801e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.097652027042911732e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.640566462649276358e-01
3.333333333333333287e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.514660493827160598e-05,0.000000000000000000e+00,0.000000000000000000e+00,4.028935185185184877e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.089877377022513832e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.865916004895483982e-01
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.407793045043945035e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.077537536621093937e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.081235633890753750e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.074018351622420597e-01
